period_days,like
0,0
0,21
0,9
7,4
0,1
0,1
7,13
7,6
0,25
0,0
7,3
0,0
0,1
0,4
7,7
0,3
7,0
0,1
7,0
0,3
1825,3
2,5
1825,0
2,2
0,28
0,5
7,3
0,3
0,269
0,2
7,5
1825,37
1825,9
1825,43
7,4
1825,7
0,2
0,0
0,87
0,0
0,10
7,7
0,19
7,1
1825,29
2,131
0,6
7,9
0,2
0,0
7,0
0,12
1825,4
2,6
1825,1
1825,0
1825,20
2,23
0,155
0,0
7,0
0,64
0,2
1825,22
0,4
0,43
0,53
0,1
0,293
0,0
0,6
7,7
0,0
7,0
0,0
7,1
0,0
0,1
0,2
0,30
1825,5
1825,56
1825,38
2,127
0,1
7,0
0,0
7,0
0,17
1825,0
2,2
1825,1
2,1
1825,1
2,0
0,13
0,0
1825,27
2,49
0,28
0,3
0,1
0,1
7,0
1825,9
2,3
0,9
1825,15
2,26
0,0
7,3
1825,61
2,139
0,2
0,2
0,67
0,24
0,0
7,0
0,10
0,2
0,3
0,8
0,0
0,0
7,1
0,25
0,3
0,239
7,468
0,12
0,81
0,0
0,1
0,10
7,0
0,46
0,0
7,0
0,27
0,32
0,4
0,4
0,2
0,0
0,0
0,20
0,30
7,25
0,2
7,3
0,1
0,11
0,0
7,1
0,10
7,9
0,2
7,0
0,8
7,0
0,54
7,21
0,247
7,157
0,9
7,32
0,7
0,24
0,33
1825,10
2,27
2,23
1825,28
0,72
0,10
0,5
7,7
0,0
7,1
0,0
0,12
0,5
0,8
1825,124
2,165
0,7
0,25
1825,38
2,33
0,2
7,0
0,0
7,0
0,0
7,1
0,0
0,0
0,27
7,75
0,4
0,1
0,5
0,4
7,5
0,2
0,0
0,0
0,35
0,25
7,9
1825,19
2,27
1825,13
2,18
0,45
0,3
7,0
1825,14
2,30
0,21
1825,6
2,17
0,1
0,9
0,3
0,2
2,142
1825,76
0,15
0,7
0,0
0,3
0,24
7,0
0,1
7,0
1825,2
1825,5
0,11
1825,10
1825,0
0,1
7,1
0,32
0,1
7,1
1825,9
0,194
0,3
1825,5
2,12
1825,18
0,12
0,1
7,2
0,5
0,13
0,0
7,0
0,1
7,0
0,2
7,5
0,0
7,0
0,3
0,5
1825,27
2,39
0,4
0,162
7,42
0,2
1825,12
2,13
1825,20
2,22
0,5
0,4
0,3
0,99
7,90
0,2
0,2
7,4
0,7
0,58
1825,10
0,88
0,2
0,0
7,0
0,12
7,22
0,0
7,0
0,9
0,22
0,0
0,0
0,43
0,33
0,0
7,0
0,19
0,39
7,25
0,0
7,0
1825,3
2,5
0,1
7,1
1825,7
2,12
1825,26
2,27
0,10
0,3
0,0
0,6
0,0
0,0
7,0
0,2
0,169
0,51
7,51
1825,12
2,6
0,31
0,2
7,2
0,2
7,13
0,0
7,0
0,11
0,9
7,10
1825,2
2,1
1825,1
2,1
