date,comment,recomm,unrecomm,labeled
2023-08-15 23:32,네이버에서 8720원이래서 들어왔는데 왜 10900원이죠;,159,5,0
2023-08-12 13:18,"이럴꺼면 바로보기라고 하지 알라니까?,",63,11,0
2023-08-11 10:29,"배척과 차별의 핑계가 되었던 '다름'을 오히려 사랑하고, 하나가 되니... 따뜻하다. 픽사가 표현하는 '이민자' 가족의 이야기.",47,5,1
2024-03-29 9:03,재생이 안 됩니다. 환불 부탁드립니다.,0,0,0
2024-03-01 20:06,재생이 안됩니다 환불 부탁드립니다,0,0,0
2024-02-27 21:53,자막이 없는데 환불 안되나요? ㅠㅠ 영어자막이요~ 진짜 이것 때믄에 샀는데…,0,0,0
2024-02-16 16:32,노래 39분 18임,0,1,0
2024-02-15 15:59,영어 자막은 왜 없나요? 영어자막 해 주세요,0,0,0
2024-02-14 8:39,재생이 안됩니다. 환불 부탁드립니다.,0,0,0
2024-01-30 9:16,재생이 안된다고 해요. 환불부탁드립니다.,0,0,0
2024-01-11 16:48,HDCP 미지원으로 재생이 안 된다고 뜨네요. 어떻게 해야 재생할 수 있을까요?((급)),0,0,0
2024-01-09 9:03,재생이 안됩니다. 환불 바랍니다.,0,0,0
2024-01-05 14:05,서비스가 원활하지 않다고 하고 재생이 안됩니다. 환불해주세요,0,0,0
2024-01-05 11:08,재생이 안됩니다. 환불 바랍니다.,0,0,0
2024-01-03 13:59,봐 야하는데 왜 서버가 자꾸 끊ㄱ겨요!!!!!!!!!!!!!!!!!!!!!!,0,0,0
2024-01-02 11:17,너무 끊겨요;;;,0,0,0
2023-12-28 19:13,재생이 안됩니다. 환불해주세요. 고객센터로 연락하라는데 고객센터 찾기 어려워 겨우 찾았더니 지금 상담시간 아니네요.,0,0,0
2023-12-28 9:06,재생이 안됩니다. 환불 바랍니다.,0,0,0
2023-12-26 11:30,너무 재미있게 본 영화였어요.,0,0,1
2023-12-25 19:34,애니메이션이지만 영상이 참 아름답네요.,0,0,1
2023-12-21 15:35,"듀얼모니터에서 재생되지 않습니다. 휴대폰 재생은 되나 저는 작은 화면이 힘들어서 크게 보려던 건데 tv연결 안됩니다. 보지도 못했는데 환불이 안됩니다. 몇시간을 끙끙대다 방금 유튜브로 영화 구매하기 했더니 듀얼모니터에서도 뜨고, tv에서도 볼 수 있습니다. 당연히 휴대폰 재생되구요. 시리즈온에서 꾸준히 구매하던 사람이었는데 현재 대부분 상품이 스트리밍용이라 다운로드가 안되고, 듀얼모니터를 사용하거나 tv에 연결되어 있는 경우 재생되지 않습니다. 다운로드가 되는 상품(예전에 구매한 것)은 pc에 다운로드할 때 화질을 480dpi로 받으시면 tv로 재생되네요. (시리즈온플레이어 설치해야 함) 480dpi 화질은 별로지만 볼 만은 합니다. 저처럼 속터짐을 겪지 않으시려면 잘 읽어보시고 결재하세요. 환불문의를 해보려고 하니 구글페이지로 연결되고 답변을 기다리느니 그냥 돈 날렸다 생각하렵니다.",3,0,0
2023-12-21 13:31,재생 되지 않습니다. 환불 버튼이나 구매취소 버튼이 없어요.. 환불해주세요.,2,0,0
2023-12-21 10:23,재생이 되지 않습니다. 환불해주세요 지금 당장!!!,1,0,0
